Event Title	Name of Company	City or Town of Origin	State of Origin	Country of Origin	Venue	Genre	Categories	Show Rating	Running Time	Audience Interaction	Nudity	Foul Language	Strobe Effects	Ticket Price	Short Blurb (175 Characters)	Long Blurb (450 Characters)	Facebook	Instagram	Twitter	Website	Your 2019 Orlando Fringe Schedule	Discount Tickets	One Time $6 Show Ticket	Event Input	Performances Input	Event Number	Event Landing
The Agony and the Ivories	Grown Man Productions	Chicago	IL	UNITED STATES	Brown	Comedy	LGBT,Comedy,One Person Show,Satirical,Play With Songs	18 and up	60	NO	NO	YES	no	12	Actor, musician and SAK Comedy Lab alum Bill Larkin stands behind a keyboard to perform his original comedy songs. As seen on Comedy Central. Intended for mature audiences.	He feels the music and he feels your pain. Actor, musician, and SAK Comedy Lab alum Bill Larkin stands behind a keyboard to perform his original comedy songs tackling subjects such as aging, homosexuality, self-esteem and social media. As seen on Comedy Central’s “Premium Blend” and at the Edinburgh Fringe Festival. The Los Angeles Times calls him "bitingly satirical". Weird Al Yankovic himself is "a big fan". Intended for mature audiences.	funpianohappytime/	thebilllarkin	thebilllarkin	www.billlarkin.com	Friday, May 17th 7:15 PM Saturday, May 18th 3:15 PM Monday, May 20th 6:15 PM Tuesday, May 21st 8:15 PM Thursday, May 23rd 10:45 PM Friday, May 24th 5:30 PM Saturday, May 25th 7:00 PM	Fringe Artist,Fringe Volunteer,Student,Senior,Military	Saturday, May 18th 3:15 PM	Tempestt 3/12		353	http://orlandofringe.showare.com/eventperformances.asp?evt=353
Altars for my Alters	Potatoes Mashed Comedy	San Francisco	CA	UNITED STATES	Blue	Theatre	Comedy,Theatre,One Person Show,Satirical,Tragedy Tragi-Comedy	18 and up	60	YES	YES	YES	No.	12	BEST OF SAN FRANCISCO FRINGE 2018! Edna Mira Raia splits the human psyche into a smattering of hilariously flawed strangers we culturally dismiss. Directed by Michael Sommers.	BEST OF SAN FRANCISCO FRINGE 2018! Edna Mira Raia leads you deep into her bottomless hole of personas, through a proficiency in neo-classic clowning and a cartoon style that is uniquely hers. Edna is the Anna Deveare Smith of clowns. She nudges you toward empathy for the 'tragic clown in everyone.' Audiences are calling it BRAZENLY DEEP, BIZARRE & GENIUS! Don't miss her; don't miss any of the hers! Directed by Michael Sommers, ('Bud' from Sense8)	/EdnasPotatoesMashed/	/potatoesmashedcomedy/		www.potatoesmashed.com	Thursday, May 16th 7:30 PM Friday, May 17th 6:00 PM Saturday, May 18th 10:00 PM Monday, May 20th 7:30 PM	Fringe Artist,Fringe Volunteer,Military		Tempestt 3/2		354	http://orlandofringe.showare.com/eventperformances.asp?evt=354
American Homelessness	Tom Ferme Productions	Longwood	FL	UNITED STATES	Purple	Film	Political,World Premiere Experimental,Interactive,Immersive Improvised,Controversial	13 and up	30	YES	NO	NO	no	5	A Film, Live Theater & A Guilt Trip! Come experience a day in the life of the homeless and then you can learn how to help this cause.	A Film, Live Theater & A Guilt Trip! Come experience a day in the life of the homeless and then you can learn how to help this cause. An immersive, multi sensory production with a guide to helping the homeless. The film is dramatic, touching, artsy, educational and funny. The film depicts a dramatic fall into homelessness and features interviews with prominent leaders. Then a live, intimate conversation and intense Q&A! All proceeds go to helping the homeless.	American-Homlessness-Questions-And-Answers-402670470562344	AmericanHomelessness			Wednesday, May 15th 6:00 PM Saturday, May 18th 12:30 PM Tuesday, May 21st 7:30 PM Saturday, May 25th 1:30 PM			Tempestt 3/12		355	http://orlandofringe.showare.com/eventperformances.asp?evt=355
An Evening of Spoken Word with Elaine Person	Arfnotz Productions	Orlando	FL	UNITED STATES	BYOV- Breakthrough Theatre of Winter Park	Spoken Word	Storytelling,Comedy,Family Friendly,One Person Show,Satirical	13 and up	55	NO	NO	NO	none	12	Local poet and writer Elaine Person presents both serious and comic tales of life, love and all the odd coincidences in her life.	Elaine Person writer/instructor/editor/speaker/performer/photographer brings her hilarious sense of humor and some serious writing, too. This Person reveals how she needs to fight to convince people that is her real last name, and her father was A. Person. People, places, and things, from her fictional heroine Cecily Hall to Spain to red lights, Elaine has a lot to say on many subjects, including aging with grace (or without her.)	groups/396045384488900/				Friday, May 17th 6:50 PM Monday, May 20th 6:50 PM Tuesday, May 21st 10:00 PM Sunday, May 26th 6:10 PM			Tempestt 3/12		356	http://orlandofringe.showare.com/eventperformances.asp?evt=356
And Then Came Tango	Windermere High School Troupe 8483	Windermere	FL	UNITED STATES	Silver	Play	Storytelling,LGBT,Theatre,Family Friendly,Award Winning Production Company	All Ages	45	NO	NO	NO	no	6	And Then Came Tango tells a story about love, family, perseverance, and standing up for your beliefs. Inspired by the true story of Roy and Silo, two male penguins from NYC.	And Then Came Tango tells a story about love, family, perseverance, and standing up for your beliefs. The play is inspired by the true story of Roy and Silo, two male penguins living at the Central Park Zoo who formed a pair bond, built a nest, and were so determined to be parents that they incubated a rock. When given an orphaned egg, the pair successfully raised a baby fledgling. The play takes audiences on a journey of love and acceptance.	WHSTheatreDepartment				Sunday, May 19th 6:30 PM Saturday, May 25th 11:30 AM			Tempestt 3/12		357	http://orlandofringe.showare.com/eventperformances.asp?evt=357
Animatronicans: Under New Management	Mo Laughs Comedy	Orlando	FL	UNITED STATES	Gold	Comedy	LGBT,Comedy,Farce,Satirical,Award Winning Production Company	18 and up	60	NO	NO	YES	NO	12	Everyone's favorite theme park animatronic gang is back and this time they have a new roommate. From the team who brought you the 2016 Critic's Choice Winner for Best Comedy!	The cast and crew from 2016's Patron's Pick, The Animatronicans are back with a brand new show. Join our mechanical family comprised of the 16th President of the US, the dad from a rotating theater, an imaginative finder of dreams and a Nordic polar bear when their peaceful life is turned upside down when a certain Redhead from the Caribbean moves in. Winner of 2016 Best Comedy award and record holder for fastest selling show in Fringe history.	www.facebook.com/molaughscomedy	www.instagram.com/jeffjonescomedy	@jeffjonescomedy	https://www.teepublic.com/user/jeffjonescomedy	Friday, May 17th 9:15 PM Sunday, May 19th 10:45 PM Monday, May 20th 7:45 PM Thursday, May 23rd 6:45 PM Saturday, May 25th 10:45 PM Sunday, May 26th 3:15 PM	None		Tempestt 3/12		358	http://orlandofringe.showare.com/eventperformances.asp?evt=358
Are You Lovin' It?	Theatre Group Gumbo	Osaka	Osaka	JAPAN	BYOV - Black Venue	Comedy	Comedy,Devised,Interactive,Black Comedy,Award Winning Production Company	All Ages	60	YES	NO	NO	No	10	Japanese GUMBO invites you to a surreal romp with dancing businessmen, everyone's favorite Krazy Kitty and delicious WacDonalds for all. We won't let you stop your laughter!	Winner of "BEST in Fest" at Tampa Fringe Festival, "Outstanding Comedy" and "Artists' Pick Award" at San Diego Fringe Festival. Japanese GUMBO invites you to a surreal romp with dancing Japanese businessmen, everyone's favorite Krazy Kitty, many Poos and delicious WacDonalds for all. We won't let you stop your laughter! GUMBO has received many international awards. Their works are frantic, high energy, grotesque and full of black humor.	TheatreGroupGumbo			http://www.eonet.ne.jp/~gumbo/	Saturday, May 18th 6:00 PM Sunday, May 19th 4:30 PM Monday, May 20th 9:00 PM Saturday, May 25th 3:00 PM Sunday, May 26th 7:30 PM	Fringe Artist,Fringe Volunteer,Student,Senior,Military,Theme Park Employee		Tempestt 3/12		359	http://orlandofringe.showare.com/eventperformances.asp?evt=359
Are you Smarter than a bartender?	Jell-Shot Hershey Tequila/ Llewellyn Productions	Orlando	FL	UNITED STATES	BYOV- Starlite Room @ Savoy	Comedy	LGBT,Comedy,Interactive,Quiz Show,Debut	18 and up	45	YES	YES	YES	No	7	Divine Grace hosts TV game-show parody. Guests compete for Jello Shots, T-Shirts and Bar Tabs with help or hindrance of Savoy bartenders. Owner, Brandon does Magic! It's a hoot!	Divine Grace emcees this parody of a TV game show typically played with 5th-graders. Audience members compete for Jello Shots, T-shirts and Bar Tabs with the help or hindrance of actual Savoy bartenders in varying states of sobriety. Savoy-owner Brandon performs Magic! There's even singing! It's a mash-up of people and premises that should not be on stage together at one time . It's interactive competion at its best. Totally Frivolous Fun Fringe Fare				wwwSavoyOrlando.com	Friday, May 17th 12:30 AM Saturday, May 18th 10:45 PM Saturday, May 25th 5:40 PM			Tempestt 3/12		340	http://orlandofringe.showare.com/eventperformances.asp?evt=360
Art Tour	Cindy Murray Productions	Orlando	FL	UNITED STATES	In front of Orlando Museum of Art	Comedy	Comedy,Family Friendly,World Premiere Experimental,Interactive,Sight Specific	7 and up	30	YES	NO	NO	NO	10	ART TOUR, hosted by a comedic actor, is a unique, intimate, and entertaining walkabout in the contagious Fringe Festival setting. Directed by Fringe Favorite, Eric Pinder.	ART TOUR is a unique, intimate, one-of-a-kind tour, hosted by a comedic actor portraying a highly engaging guide. Presented as a walkabout in the contagious Fringe Festival setting, ART TOUR, directed by Fringe Favorite, Eric Pinder, provides increased exposure to the Visual Fringe Art while giving a whole new meaning to ART TOUR. Experience Art from a fringy point of view! Photography and Social Media posting allowed and highly encouraged!					Wednesday, May 15th 7:00 PM Wednesday, May 15th 9:00 PM Thursday, May 16th 7:00 PM Thursday, May 16th 9:00 PM Friday, May 17th 7:00 PM Friday, May 17th 9:00 PM Saturday, May 18th 4:00 PM Saturday, May 18th 6:00 PM Saturday, May 18th 8:00 PM Saturday, May 18th 10:00 PM Sunday, May 19th 4:00 PM Sunday, May 19th 6:00 PM Sunday, May 19th 8:00 PM Tuesday, May 21st 7:00 PM Tuesday, May 21st 9:00 PM Wednesday, May 22nd 7:00 PM Wednesday, May 22nd 9:00 PM Thursday, May 23rd 7:00 PM Thursday, May 23rd 9:00 PM Friday, May 24th 7:00 PM Friday, May 24th 9:00 PM Saturday, May 25th 3:00 PM Saturday, May 25th 4:00 PM Saturday, May 25th 6:00 PM Saturday, May 25th 8:00 PM Saturday, May 25th 10:00 PM Sunday, May 26th 4:00 PM Sunday, May 26th 6:00 PM Sunday, May 26th 8:00 PM Sunday, May 26th 10:00 PM	None		Tempestt 3/12		341	http://orlandofringe.showare.com/eventperformances.asp?evt=361
The Asylum of Dr. Moreau	Complicit Theatre Co.	Atlanta	GA	UNITED STATES	Pink	Theatre	Storytelling,Puppetry,Devised,Thriller,Drama	13 and up	65	NO	NO	YES	Use of flashlights occur throughout the show.	12	The Asylum of Dr. Moreau, winner of the 2018 Orlando Fringe Best Drama award, tells the story of one man"s rebellion in his quest to find out what separates man from animal.	The Asylum of Dr. Moreau, winner of the 2018 Orlando Fringe "Best Drama" and "Fringe of Fringe" award, brings to life the story of one man's rebellion in his quest to find out what it is that separates man from animal. After surviving a horrific shipwreck Edward Prendick is brought to an island where he finds an oppressed society of vivisected beasts which leads him to question Dr. Moreau and his stance on pain, cruelty, and the human condition.					Wednesday, May 15th 7:15 PM Saturday, May 18th 10:45 PM Sunday, May 19th 7:30 PM Tuesday, May 21st 7:45 PM Wednesday, May 22nd 9:00 PM Friday, May 24th 10:45 PM Saturday, May 25th 3:15 PM	Fringe Artist,Fringe Volunteer	Wednesday, May 15th @ 7:15pm	Tempestt 3/12		293	http://orlandofringe.showare.com/eventperformances.asp?evt=293
Black Cow Jumps	Banks Helfrich	CLERMONT	FL	UNITED STATES	Purple	Theatre	Comedy,Theatre,World Premiere Experimental,Immersive Improvised,Drama	18 and up	60	YES	NO	YES	No	12	Theatre, as an exploration of reality through life. A mindful and sometimes comedic portrayal of the characters we often play, as we try on the shoes of maturity. Life soup.	Multi-vignettes that place the human back into humanity. Visceral reflections of how we perceive ourselves when we remove our veils, and shift into authenticity. An observation of reality in a performance space to create a clarity and frankness that we all crave, if only we are willing to see ourselves in others.�An invitation to pause long enough to experience our Ah-ha moments in a room full of people desiring connection. Life soup.	blackcowjumps	bankshelfrich	blackcowjumps	https://www.bankshelfrich.com/black-cow-jumps	Wednesday, May 15th        10:00 PM Saturday, May 18th        6:30 PM Sunday, May 19th        3:00 PM Tuesday, May 21st        6:00 PM Thursday, May 23rd        10:30 PM Saturday, May 25th        7:30 PM Sunday, May 26th        1:30 PM	Fringe Artist,Fringe Volunteer	Yes - Wednesday, May 15 @ 10 pm	Tempestt 3/12		362	http://orlandofringe.showare.com/eventperformances.asp?evt=362
Black Wood	Carpenter Aunt Productions	Orlando	FL	UNITED STATES	Gold	Comedy	Comedy,Theatre,Award Winning Production Company,Debut	13 and up	60	NO	NO	YES	No	12	Go behind the scenes of 1967's spookiest, cheesiest TV soap opera in a hilarious and poignant comedy by Fringe fave Steve Schneider (Escape From Baldwin Park, Ominous George)	It's 1967, and Caroline Logan has just joined the cast of TV's top supernatural soap opera. But will nervous network censors and a vampire with line trouble derail her career before it's begun? Probe the dark shadows of dysfunction in a hilarious and poignant new comedy written by Fringe fave Steve Schneider (Escape From Baldwin Park, Ominous George) directed by Dave Russell (president, SAK Comedy Lab), and starring a cast of top O-Town talent.	Black-Wood-by-Steve-Schneider-388430685302171/?_rdr	thesteveschneider/	Schneider_Stv		Thursday, May 16th        8:45 PM Saturday, May 18th        3:00 PM Wednesday, May 22nd 10:45 PM Saturday, May 25th        1:45 PM Sunday, May 26th        10:45 PM	Student,Senior	10:45 p.m. Wednesday, May 22	Tempestt 3/12		363	http://orlandofringe.showare.com/eventperformances.asp?evt=363
BLIND TO HAPPINESS	Tim C. Murphy	Ottawa	Ontario	CANADA	Brown	Theatre	Comedy,Theatre,One Person Show,Drama,Award Winning Production Company	13 and up	60	NO	NO	YES	No	12	A quirky dishwasher, S Club 7, beer, and the question - is 'happier' a choice? "Beautiful" ***** Ignite FM "Smart. Dark. Hilarious." ****1/2 VUE ****National Post **** EYE	A socially awkward dishwasher, his cat, S Club 7, positive psychology, some beer, and the question - is 'happier' a choice?  "Smart. Dark. Hilarious." ****1/2 VUE Weekly | "Inspirational" NYtheater.com "Beautiful. Absolute Must See!" ***** Ignite FM | "Emotionally raw" **** Wpg Free Press ****Edm Journal ****Torontoist ****National Post ****Edm Sun ****EYE Weekly Toronto **** Uptown Wpg  2016 Toronto Best of Fest | 2017 Ottawa Best of Fest	timcmurphy.fanpage		timcmurphy	www.timcmurphy.com	Wednesday, May 15th 6:45 PM Thursday, May 16th 9:45 PM Saturday, May 18th 7:15 PM Sunday, May 19th 2:15 PM Wednesday, May 22nd 6:45 PM Friday, May 24th 7:15 PM Sunday, May 26th 5:15 PM			Tempestt 3/12		364	http://orlandofringe.showare.com/eventperformances.asp?evt=364
Blue and Tod - Back in Black Cabaret	Blue Lala Entertainment	Orlando	FL	UNITED STATES	BYOV - Black Venue	Music	LGBT,Comedy,Interactive	18 and up	60	NO	NO	YES	No	12	After 6 years, Blue Star and Tod Kimbro are Back in Black! Get ready for the musical madness and foul-mouthed hilarity that only Fringe legends Blue and Tod can deliver.	After 6 years, Blue Star and Tod Kimbro are Back in Black (Venue)! They're the twisted minds behind smash Fringe hits like 2011's "Big Queer Hootenany," 2012's "Too Drunk to Fringe," and 2013's "In The Black." Now they're reuniting for another sure-to-be-cray cabaret, so get ready for the mischievous musicality and foul-mouthed hilarity that only Fringe legends Blue and Tod can deliver.	TheVenueOrlando/	@thevenueorlando		www.thevenueorlando.com	Friday, May 17th 7:30 PM Saturday, May 18th 4:30 PM Sunday, May 19th 6:00 PM Wednesday, May 22nd 7:30 PM Friday, May 24th 7:30 PM Saturday, May 25th 7:30 PM			Tempestt 3/12		365	http://orlandofringe.showare.com/eventperformances.asp?evt=365
A Briefs History of Time	Boylesque T.O.	Toronto	Ontario	CANADA	Orange	Theatre	LGBT,Comedy,Burlesque,Feminist,Award Winning Production Company	13 and up	60	YES	YES	YES	No.	12	BoylesqueTO, Canada's premiere all-male burlesque troupe and creator of hit show Oh Manada!, is back with an adventure of ass-tronomical proportions! (????� --Edmonton Vue)	BoylesqueTO, Canada's premiere all-male burlesque troupe and creator of hit show Oh Manada!, is back with an adventure of ass-tronomical proportions!    A Briefs History of Time (????� -- Edmonton Vue) features Imperator Furry Rosa, a warrior from a distant future in which men have gone extinct. She has travelled back in time seeking prime specimens of sexy 21st Century men--you know, for research--and, boy oh boy, does she find some!	https://www.facebook.com/boylesqueTO/	https://www.instagram.com/boylesqueto/	N/A	www.boylesqueto.com	Saturday, May 18th 9:45 PM Sunday, May 19th 7:00 PM Monday, May 20th 9:15 PM Wednesday, May 22nd 7:45 PM Friday, May 24th 9:30 PM Saturday, May 25th 10:00 PM Sunday, May 26th 8:30 PM			Tempestt 3/12		366	http://orlandofringe.showare.com/eventperformances.asp?evt=366
The Butler Did It	Project Spotlight	Orlando	FL	UNITED STATES	Pink	Comedy	Comedy,Theatre,Farce,Satirical,Parody	13 and up	55		NO	YES	No	7	Join jaunty Detective Schemer as he investigates Big Bill Bourbon's perplexing murder in The Butler Did It. Have a laugh and help solve this comedy-meets-murder-mystery.	Join jaunty Detective Schemer as he investigates the perplexing mystery of Big Bill Bourbon’s murder in The Butler Did It. Could it have been his wife? Or his seductive rival, Ruby Redstone? The Butler? Surely not! UCF student-written and -produced, The Butler Did It is a comment on the classic murder mystery with a comedic twist that will (not) have you wondering "whodunit?"	TheButlerDidIt2019	thebutlerdidit2019	TheButlerDidIt		Thursday, May 16th 5:30 PM Sunday, May 19th 9:15 PM Monday, May 20th 9:00 PM Friday, May 24th 5:30 PM Sunday, May 26th 8:30 PM	Fringe Artist,Fringe Volunteer,Student,Senior,Military		Tempestt 3/12		367	http://orlandofringe.showare.com/eventperformances.asp?evt=367
BYOV Teaser Show	The Venue	Orlando	FL	UNITED STATES	BYOV - Black Venue	Variety	Variety	18 and up	90	YES	YES	YES	No	Pay at Door	2 Minute teasers of many of the offsite "Bring Your Own Venue" offerings at this year's Fringe Festival!	2 Minute teasers of many of the offsite "Bring Your Own Venue" offerings at this year's Fringe Festival!					Monday, May 13th 7:30PM			Tempestt 3/11		368	http://orlandofringe.showare.com/eventperformances.asp?evt=368
